Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Бренд / Серия,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Количество в упаковке,Температура подачи,Friendly,BiO,Винтаж,Субрегион,Выдержка,Подарочная упаковка0.75,Chateau Pinot,580₽,725₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotГравитация,Пино нуарСаперави,Стальной чан,13%,6,16-18
0.75,Bogarve 1915,1 160₽,1 450₽,Тихое,Красное,Сладкое,Испания,,,Bogarve 1915,,Bogarve 1915Altra Terra,Гарнача тинторера,Бочка,15%,6,14-16
0.7,Olymp Winery,470₽,470₽,Тихое,Белое,Полусладкое,Россия,Краснодарский край,,Olymp Winery,,,Мускат,,10% - 12%,6,10-12
0.75,Бурлюк,337₽,421₽,Тихое,Розовое,Полусухое,Россия,Крым,,Бурлюк,,,РкацителиМолдова,Стальной чан,10.00% - 11%,6,8-10
0.75,Felix Solis Avantis,954₽,1 193₽,Тихое,Розовое,Полусухое,Испания,,,Felix Solis Avantis,,,ГарначаБобальТемпранильо,Стальной чан,13%,6,8-10
0.75,Catena Zapata,1 571₽,1 571₽,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Catena Zapata,,Catena ZapataAlamos,Каберне совиньон,Бочка,14%,6,16-18
0.7,Olymp Winery,420₽,420₽,Тихое,Красное,Полусладкое,Россия,Краснодарский край,,Olymp Winery,,,Каберне совиньонМерлоДойна,,10% - 12%,6,16-18
0.75,Виноградники Гай-Кодзора,1 233₽,1 233₽,Тихое,Красное,Сухое,Россия,Краснодарский край,,Виноградники Гай-Кодзора,,Gai-KodzorTerroir,СираМурведрГренашМальбек,Стальной чан,14%,6,16-18
0.75,Golan Heights,2 880₽,2 880₽,Тихое,Белое,Сухое,Израиль,Галилея,,Golan Heights,,,Гевюрцтраминер,Стальной чан,14.5%,6,10-12
3,Montes,19 160₽,19 160₽,Тихое,Красное,Сухое,Аргентина,Центральная долина,Colchagua Valley DO,Montes,DO,,Каберне совиньонМерло,Бочка,14.5%,1,16-18
0.75,Castello Banfi,1 990₽,1 990₽,Тихое,Красное,Полусухое,Италия,Тоскана,Toscana IGT,Castello Banfi,IGT/IGP,Castello BanfiCol di Sasso,СанджовезеКаберне совиньон,Стальной чан,,6,16-18
0.75,Somewhere Else Vineyards,1 530₽,1 913₽,Тихое,Красное,Сухое,Аргентина,,,Somewhere Else Vineyards,,,Каберне фран,Бочка,14%,6,16-18
3,,4 547₽,4 547₽,Тихое,Белое,Сухое,Испания,,,,,,Айрен,,11.5%,4,10-12
0.75,Château La Favière,1 047₽,1 309₽,Тихое,Красное,Сухое,Франция,Бордо,Bordeaux Superieur AOС,Château La Favière,AOC/AOP,Chateau La FavièreMuse,МерлоКаберне франКаберне совиньон,Бочка,13%,6,16-18
0.75,СХП Виноградное,208₽,260₽,Тихое,Красное,Сухое,Россия,Ставропольский край,,СХП Виноградное,,,Каберне совиньон,Стальной чан,10.00% - 12%,6,16-18
0.75,Porttable Produtos Alimentares,1 956₽,2 445₽,Тихое,Белое,Сухое,Португалия,Дору,Douro DOC,Porttable Produtos Alimentares,DOC/DOP,,Кодега до лариньоРабигатоГувейоВиозинью,Бочка,13%,6,8-10
0.75,Piccini,1 172₽,1 465₽,Тихое,Белое,Сухое,Италия,Сицилия,,Piccini,,,ШардонеВерментиноВионьеПекорино,Стальной чан,,6,8-10
0.75,Olymp Winery,456₽,456₽,Тихое,Красное,Полусладкое,Россия,Краснодарский край,,Olymp Winery,,,Каберне совиньонМерлоДойна,,10% - 12%,6,16-18
