Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Температура подачи,Friendly,BiO,Винтаж,Подарочная упаковка
0.75,Chateau Pinot,580.0,725.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Пино нуарСаперави,Стальной чан,13.0,17.0,0,0,unknown,0
0.75,Bogarve 1915,1160.0,1450.0,Тихое,Красное,Сладкое,Испания,unknown,unknown,Bogarve 1915,unknown,Гарнача тинторера,Бочка,15.0,15.0,0,0,unknown,0
0.7,Olymp Winery,470.0,470.0,Тихое,Белое,Полусладкое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Мускат,unknown,11.0,11.0,0,0,unknown,0
0.75,Бурлюк,337.0,421.0,Тихое,Розовое,Полусухое,Россия,Крым,unknown,Бурлюк,unknown,РкацителиМолдова,Стальной чан,10.5,9.0,0,0,unknown,0
0.75,Felix Solis Avantis,954.0,1193.0,Тихое,Розовое,Полусухое,Испания,unknown,unknown,Felix Solis Avantis,unknown,ГарначаБобальТемпранильо,Стальной чан,13.0,9.0,0,0,unknown,0
0.75,Catena Zapata,1571.0,1571.0,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Catena Zapata,unknown,Каберне совиньон,Бочка,14.0,17.0,0,0,unknown,0
0.7,Olymp Winery,420.0,420.0,Тихое,Красное,Полусладкое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Каберне совиньонМерлоДойна,unknown,11.0,17.0,0,0,unknown,0
0.75,Виноградники Гай-Кодзора,1233.0,1233.0,Тихое,Красное,Сухое,Россия,Краснодарский край,unknown,Виноградники Гай-Кодзора,unknown,СираМурведрГренашМальбек,Стальной чан,14.0,17.0,0,0,unknown,0
0.75,Golan Heights,2880.0,2880.0,Тихое,Белое,Сухое,Израиль,Галилея,unknown,Golan Heights,unknown,Гевюрцтраминер,Стальной чан,14.5,11.0,0,0,unknown,0
3.0,Montes,19160.0,19160.0,Тихое,Красное,Сухое,Аргентина,Центральная долина,Colchagua Valley DO,Montes,DO,Каберне совиньонМерло,Бочка,14.5,17.0,0,0,unknown,0
0.75,Castello Banfi,1990.0,1990.0,Тихое,Красное,Полусухое,Италия,Тоскана,Toscana IGT,Castello Banfi,IGT/IGP,СанджовезеКаберне совиньон,Стальной чан,12.914653243847875,17.0,0,0,unknown,0
0.75,Somewhere Else Vineyards,1530.0,1913.0,Тихое,Красное,Сухое,Аргентина,unknown,unknown,Somewhere Else Vineyards,unknown,Каберне фран,Бочка,14.0,17.0,0,0,unknown,0
0.75,Château La Favière,1047.0,1309.0,Тихое,Красное,Сухое,Франция,Бордо,Bordeaux Superieur AOС,Château La Favière,AOC/AOP,МерлоКаберне франКаберне совиньон,Бочка,13.0,17.0,0,0,unknown,0
0.75,СХП Виноградное,208.0,260.0,Тихое,Красное,Сухое,Россия,Ставропольский край,unknown,СХП Виноградное,unknown,Каберне совиньон,Стальной чан,11.0,17.0,0,0,unknown,0
0.75,Porttable Produtos Alimentares,1956.0,2445.0,Тихое,Белое,Сухое,Португалия,Дору,Douro DOC,Porttable Produtos Alimentares,DOC/DOP,Кодега до лариньоРабигатоГувейоВиозинью,Бочка,13.0,9.0,0,0,unknown,0
0.75,Piccini,1172.0,1465.0,Тихое,Белое,Сухое,Италия,Сицилия,unknown,Piccini,unknown,ШардонеВерментиноВионьеПекорино,Стальной чан,12.914653243847875,9.0,0,0,unknown,0
0.75,Olymp Winery,456.0,456.0,Тихое,Красное,Полусладкое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Каберне совиньонМерлоДойна,unknown,11.0,17.0,0,0,unknown,0
0.75,Bodegas Nuviana,909.0,909.0,Тихое,Белое,Сухое,Испания,Арагон,Valle del Cinca IGP,Bodegas Nuviana,IGT/IGP,Шардоне,Стальной чан,13.5,11.0,0,0,unknown,0
0.75,Tenuta Rapitala,1172.0,1465.0,Тихое,Розовое,Сухое,Италия,Сицилия,Terre Siciliane IGT,Tenuta Rapitala,IGT/IGP,Нерелло маскалезеПерриконе,Стальной чан,12.5,11.0,0,0,unknown,0
1.5,Conde de Hervias,10186.0,12732.0,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOC,Conde de Hervias,DOC/DOP,Темпранильо,Бочка,14.0,17.0,0,0,unknown,0
0.75,СХП Виноградное,208.0,260.0,Тихое,Белое,Сухое,Россия,Ставропольский край,unknown,СХП Виноградное,unknown,Совиньон бланЦитронный магарача,Стальной чан,11.0,11.0,0,0,unknown,0
0.75,Массандра,318.0,397.0,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,Алиготе,Стальной чан,12.0,11.0,0,0,unknown,0
0.75,Golan Heights,3142.0,3142.0,Тихое,Белое,Сухое,Израиль,unknown,unknown,Golan Heights,unknown,Совиньон блан,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Interfin,530.0,663.0,Тихое,Красное,Полусладкое,Россия,Крым,unknown,Interfin,unknown,Пино нуар,Стальной чан,11.0,11.0,0,0,unknown,0
0.75,Le Gatte,1675.0,2094.0,Тихое,Красное,Сухое,Италия,Ломбардия,Capriano del Colle DOC,Le Gatte,DOC/DOP,МерлоМарцеминоСанджовезеБарбера,Стальной чан,13.0,15.0,0,0,unknown,0
0.75,GWS,1406.0,1758.0,Тихое,Белое,Полусладкое,Грузия,Лечхуми,Твиши,GWS,unknown,Цоликаури,Бочка,10.5,9.0,0,0,unknown,0
0.75,Gunderloch,2890.0,2890.0,Тихое,Белое,Полусладкое,Германия,Райнхессен,Rheinhessen QbA,Gunderloch,QbA,Рислинг,Стальной чан,12.914653243847875,9.0,0,0,unknown,0
0.75,Золотая Балка,506.0,633.0,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Золотая Балка,ЗГУ,Совиньон блан,Стальной чан,12.5,11.0,0,0,unknown,0
0.187,Olymp Winery,208.0,208.0,Тихое,Белое,Полусладкое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,РкацителиПервенец магарача,unknown,11.0,11.0,0,0,unknown,0
0.75,Bodegas y Vinedos de Aguirre,642.0,803.0,Тихое,Красное,Сухое,Чили,Центральная долина,Central Valley DO,Bodegas y Vinedos de Aguirre,DO,Сира,Стальной чан,13.0,17.0,0,0,unknown,0
0.75,Linton Park,1000.0,1250.0,Тихое,Белое,Сухое,ЮАР,Западный Кейп,unknown,Linton Park,unknown,Шенен блан,Стальной чан,12.0,11.0,0,0,unknown,0
0.75,Alma Valley,679.0,849.0,Тихое,Розовое,Полусухое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,Пино нуарСира,Стальной чан,12.914653243847875,9.0,0,0,unknown,0
0.75,Golubitskoe Estate,812.0,1015.0,Тихое,Розовое,Сухое,Россия,Краснодарский край,Кубань. Таманский полуостров ЗГУ,Golubitskoe Estate,ЗГУ,Пино гриКаберне совиньонМерло,Стальной чан,12.6,11.0,0,0,unknown,0
0.75,Chateau Mukhrani,2314.0,2892.0,Тихое,Красное,Полусладкое,Грузия,Квемо-Картли,Киндзмараули ЗГУ,Chateau Mukhrani,ЗГУ,Саперави,Бочка,10.5,17.0,0,0,unknown,0
0.75,unknown,1598.0,1998.0,Тихое,Белое,Сухое,Новая Зеландия,Мальборо,Marlborough,Les Grands Chais de France,unknown,Совиньон блан,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,unknown,1382.0,1382.0,Тихое,Красное,Полусладкое,Испания,unknown,unknown,Cherubino Valsangiacomo,unknown,Красные сорта винограда,unknown,11.0,17.0,0,0,unknown,0
0.75,Olymp Winery,607.0,607.0,Тихое,Красное,Сухое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Красные сорта винограда,unknown,11.0,17.0,0,0,unknown,0
0.75,Виноградники Гай-Кодзора,1035.0,1035.0,Тихое,Красное,Сухое,Россия,Краснодарский край,unknown,Виноградники Гай-Кодзора,unknown,СираМурведр,Стальной чан,13.0,17.0,0,0,unknown,0
0.75,Piccini,995.0,1244.0,Тихое,Красное,Полусладкое,Италия,unknown,unknown,Piccini,unknown,Каберне совиньонМерлоПино нуар,unknown,13.0,17.0,0,0,unknown,0
0.75,Argiano,49349.0,49349.0,Тихое,Красное,Сухое,Италия,Тоскана,Brunello di Montalcino DOCG,Argiano,DOCG,Санджовезе,Бочка,14.7,17.0,0,0,unknown,0
0.75,Vinovalie,2191.0,2739.0,Тихое,Розовое,Полусладкое,Франция,Юго-Запад,Cotes du Tarn IGP,Vinovalie,unknown,Негрет,Стальной чан,11.0,9.0,0,0,unknown,0
0.75,Cantina Diomede,2092.0,2615.0,Тихое,Красное,Полусухое,Италия,Апулия,Puglia IGT,Cantina Diomede,IGT/IGP,Неро ди троя,Стальной чан,12.5,17.0,0,0,unknown,0
0.75,Umani Ronchi,1840.0,1840.0,Тихое,Красное,Сухое,Италия,Абруццо,Montepulciano d'Abruzzo DOC,Umani Ronchi,DOC/DOP,Монтепульчано,Стальной чан,12.914653243847875,17.0,0,0,unknown,0
0.75,unknown,1054.0,1317.0,Тихое,Белое,Сухое,Россия,Краснодарский край,unknown,Абрау-Дюрсо,unknown,Шардоне,Бочка,13.0,11.0,0,0,unknown,0
0.75,Schloss Johannisberg,2475.0,3094.0,Тихое,Белое,Полусладкое,Германия,Рейнгау,Rheingau QbA,Schloss Johannisberg,QbA,Рислинг,Стальной чан,12.914653243847875,9.0,0,0,unknown,0
0.75,Take it to the Grave,2028.0,2535.0,Тихое,Красное,Сухое,Австралия,Южная Австралия,South Australia GI,Take it to the Grave,GI,Шираз,Бочка,12.914653243847875,17.0,0,0,unknown,0
0.75,Clos Figueras,12426.0,15532.0,Тихое,Красное,Сухое,Испания,Приорат,Priorat DOQ,Clos Figueras,DOQ,ГарначаКариньян,Бочка,15.0,17.0,0,0,unknown,0
0.75,Castel Mimi,713.0,891.0,Тихое,Белое,Сухое,Молдавия,unknown,unknown,Castel Mimi,unknown,ВиорикаФетяска,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Bodegas Muga,2808.0,2808.0,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Bodegas Muga,DOCa,ТемпранильоГарнача,Бочка,14.0,15.0,0,0,unknown,0
0.75,Antigal,828.0,1035.0,Тихое,Белое,Сухое,Аргентина,Мендоса,Mendoza,Antigal,unknown,Шардоне,Стальной чан,12.55,11.0,0,0,unknown,0
0.75,Chateau Pinot,580.0,725.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Каберне франКаберне совиньон,Стальной чан,13.5,17.0,0,0,unknown,0
0.75,Лефкадия,2490.0,2490.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Крымск ЗГУ,Лефкадия,ЗГУ,Каберне фран,Бочка,13.5,17.0,0,0,unknown,0
0.75,Angelo Rocca е Figli,983.0,1229.0,Тихое,Белое,Сухое,Италия,Апулия,Puglia IGT,Angelo Rocca e Figli,IGT/IGP,Вердека,Стальной чан,12.5,11.0,0,0,unknown,0
